,Mieszanina_perfumy_bez menthonu
-0.714568,0.000360926
-0.712812,0.000362196
-0.711057,0.000382608
-0.709301,0.000403021
-0.707545,0.000406801
-0.705789,0.000395519
-0.704033,0.000388453
-0.702277,0.000381387
-0.700522,0.000374322
-0.698766,0.000367256
-0.69701,0.000369605
-0.695254,0.000387016
-0.693498,0.000411018
-0.691742,0.00043502
-0.689987,0.000453765
-0.688231,0.000472511
-0.686475,0.000475565
-0.684719,0.000463557
-0.682963,0.000453432
-0.681208,0.000458369
-0.679452,0.000453893
-0.677696,0.000449416
-0.67594,0.00045047
-0.674184,0.000451524
-0.672428,0.00045352
-0.670673,0.000455516
-0.668917,0.000450294
-0.667161,0.000460135
-0.665405,0.000476566
-0.663649,0.000492997
-0.661893,0.000493384
-0.660138,0.000493771
-0.658382,0.000479096
-0.656626,0.00046442
-0.65487,0.000459786
-0.653114,0.000455153
-0.651358,0.000459934
-0.649603,0.000449651
-0.647847,0.000434794
-0.646091,0.000435
-0.644335,0.000450897
-0.642579,0.000466793
-0.640823,0.000455702
-0.639068,0.000444611
-0.637312,0.000448582
-0.635556,0.000452554
-0.6338,0.000441345
-0.632044,0.000430136
-0.630288,0.000434618
-0.628533,0.000454162
-0.626777,0.000472138
-0.625021,0.00047505
-0.623265,0.000472314
-0.621509,0.000469578
-0.619753,0.000471196
-0.617998,0.000472815
-0.616242,0.000474433
-0.614486,0.000476051
-0.61273,0.000481121
-0.610974,0.000486191
-0.609218,0.000491261
-0.607463,0.000496331
-0.605707,0.000488064
-0.603951,0.000479797
-0.602195,0.000463057
-0.600439,0.00046138
-0.598683,0.000474452
-0.596928,0.000487525
-0.595172,0.000494948
-0.593416,0.000487309
-0.59166,0.000488446
-0.589904,0.000489584
-0.588148,0.00048978
-0.586393,0.000489976
-0.584637,0.000484524
-0.582881,0.000479071
-0.581125,0.000497782
-0.579369,0.000516493
-0.577613,0.000539362
-0.575858,0.000547169
-0.574102,0.000554033
-0.572346,0.000575961
-0.57059,0.000604479
-0.568834,0.000617933
-0.567078,0.000615697
-0.565323,0.000613461
-0.563567,0.000616168
-0.561811,0.000618875
-0.560055,0.000622523
-0.558299,0.000626171
-0.556543,0.00062825
-0.554788,0.000645392
-0.553032,0.000669124
