,mieszanina_metabolitow
-1.97168,3.60422E-06
-1.97156,3.60422E-06
-1.97144,0.000109953
-1.97132,0.000216302
-1.9712,5.89942E-05
-1.97107,-9.83132E-05
-1.97095,-4.29233E-05
-1.97083,1.24667E-05
-1.97071,-8.72356E-05
-1.97059,-0.000186937
-1.97047,-0.000180291
-1.97034,-0.000173644
-1.97022,-0.000461672
-1.9701,-0.0007497
-1.96998,-0.000541433
-1.96986,-0.000333167
-1.96974,-4.29233E-05
-1.96962,0.00024732
-1.96949,0.000183068
-1.96937,0.000118815
-1.96925,7.89347E-05
-1.96913,3.90536E-05
-1.96901,0.000105522
-1.96889,0.00017199
-1.96876,6.12098E-05
-1.96864,-4.95701E-05
-1.96852,5.23473E-05
-1.9684,0.000154265
-1.96828,-0.000175859
-1.96816,-0.000505984
-1.96803,-0.000198015
-1.96791,0.000535348
-1.96779,0.000600293
-1.96767,-4.37545E-05
-1.96755,-0.000475104
-1.96743,-0.000197461
-1.9673,0.000354915
-1.96718,0.000481897
-1.96706,0.000254382
-1.96694,2.68682E-05
-1.96682,0.000115077
-1.9667,0.000203285
-1.96657,7.87959E-05
-1.96645,-4.5693E-05
-1.96633,-0.000112576
-1.96621,-0.00017946
-1.96609,-0.000246343
-1.96597,-0.000313227
-1.96584,-1.34283E-05
-1.96572,0.00028637
-1.9656,0.000231673
-1.96548,0.000176975
-1.96536,6.46715E-05
-1.96524,-4.76316E-05
-1.96511,5.27627E-05
-1.96499,0.000153157
-1.96487,-3.66922E-05
-1.96475,-0.000226541
-1.96463,-6.18943E-05
-1.96451,0.000102752
-1.96438,0.000134463
-1.96426,0.000166174
-1.96414,9.1536E-05
-1.96402,1.68979E-05
-1.9639,0.000169082
-1.96378,0.000321266
-1.96365,0.000367101
-1.96353,0.000412936
-1.96341,0.000219487
-1.96329,2.6037E-05
-1.96317,4.52851E-05
-1.96305,6.45332E-05
-1.96292,0.000214502
-1.9628,0.00036447
-1.96268,0.000301741
-1.96256,0.000239012
-1.96244,8.9874E-05
-1.96232,-5.92633E-05
-1.9622,-0.000102052
-1.96207,-0.000144841
-1.96195,-0.000146087
-1.96183,-0.000147333
-1.96171,-0.00014858
-1.96159,-0.000149826
-1.96147,-3.80767E-05
-1.96134,7.36727E-05
-1.96122,-2.72756E-05
-1.9611,-0.000128224
-1.96098,1.42492E-07
-1.96086,0.000128509
-1.96074,4.41773E-05
-1.96061,-4.0154E-05
-1.96049,0.000261029
-1.96037,0.000562212
-1.96025,0.000367101
-1.96013,0.00017199
-1.96001,0.00020107
-1.95988,0.000230149
-1.95976,0.000259229
-1.95964,0.000288309
-1.95952,7.20471E-06
-1.9594,-0.0002739
-1.95928,-5.87096E-05
-1.95915,0.000156481
-1.95903,0.000119092
-1.95891,8.1704E-05
-1.95879,4.43161E-05
-1.95867,6.92764E-06
-1.95855,-9.69288E-05
-1.95842,-0.000200785
-1.9583,-9.19434E-05
-1.95818,1.68979E-05
-1.95806,-0.00014678
-1.95794,-0.000310457
-1.95782,-0.000119639
-1.95769,7.11801E-05
-1.95757,-3.04608E-05
-1.95745,-0.000132101
-1.95733,-2.10442E-05
-1.95721,9.00128E-05
-1.95709,-4.98118E-06
-1.95696,-9.99752E-05
-1.95684,1.77287E-05
-1.95672,0.000135432
-1.9566,0.000142356
-1.95648,0.00014928
-1.95636,-5.6494E-05
-1.95623,-0.000262268
-1.95611,-0.000183268
-1.95599,-0.000104268
-1.95587,-2.52677E-05
-1.95575,5.37322E-05
-1.95563,0.000128301
-1.9555,0.00020287
-1.95538,6.47409E-05
-1.95526,-7.33878E-05
-1.95514,0.000185076
-1.95502,0.000443539
-1.9549,0.000347507
-1.95478,0.000251474
-1.95465,0.000224126
-1.95453,0.000196777
-1.95441,0.000169428
-1.95429,0.000142079
-1.95417,0.000203354
-1.95405,0.00026463
-1.95392,0.000432253
-1.9538,0.000599877
-1.95368,0.000255698
-1.95356,-8.84817E-05
-1.95344,6.36331E-05
-1.95332,0.000215748
-1.95319,3.77381E-05
-1.95307,-0.000140271
-1.95295,3.62149E-05
-1.95283,0.000212702
-1.95271,0.000154334
-1.95259,9.59672E-05
-1.95246,3.75998E-05
-1.95234,-2.07676E-05
-1.95222,0.000112999
-1.9521,0.000246766
-1.95198,0.000167836
-1.95186,8.8905E-05
-1.95173,0.000218241
-1.95161,0.000347576
-1.95149,0.000264214
-1.95137,0.000180852
-1.95125,-2.43676E-05
-1.95113,-0.000229588
-1.951,-8.03117E-05
-1.95088,6.89644E-05
-1.95076,4.54239E-05
-1.95064,2.18828E-05
-1.95052,-1.65775E-06
-1.9504,-2.51988E-05
-1.95027,0.000112446
-1.95015,0.00025009
-1.95003,0.000175036
-1.94991,9.99826E-05
-1.94979,4.48697E-05
-1.94967,-1.02432E-05
-1.94954,4.09926E-05
-1.94942,9.22284E-05
-1.9493,5.37322E-05
-1.94918,1.5236E-05
-1.94906,0.000189438
-1.94894,0.000363639
-1.94881,3.48995E-05
-1.94869,-0.00029384
-1.94857,-0.000126285
-1.94845,4.12692E-05
-1.94833,-1.3913E-05
-1.94821,-6.90953E-05
-1.94808,8.84202E-05
-1.94796,0.000245935
-1.94784,0.000115423
-1.94772,-1.50898E-05
-1.9476,0.000208893
-1.94748,0.000432877
-1.94736,0.00034446
-1.94723,0.000256044
-1.94711,0.000167628
-1.94699,7.92118E-05
-1.94687,1.29514E-05
-1.94675,-5.33089E-05
-1.94663,-0.000119569
-1.9465,-0.00018583
-1.94638,-0.000151834
-1.94626,-0.000117838
-1.94614,-8.38428E-05
-1.94602,-4.98472E-05
-1.9459,0.000170259
-1.94577,0.000390365
-1.94565,0.000114176
-1.94553,-0.000162012
-1.94541,-0.000335175
-1.94529,-0.000508338
-1.94517,-0.000185207
-1.94504,0.000137925
-1.94492,0.00023285
-1.9448,0.000327774
-1.94468,0.00031635
-1.94456,0.000304926
-1.94444,9.4444E-05
-1.94431,-0.000116038
-1.94419,2.7976E-05
-1.94407,0.00017199
-1.94395,6.34254E-05
-1.94383,-4.51389E-05
-1.94371,-4.73545E-05
-1.94358,-4.95701E-05
-1.94346,-7.28341E-05
-1.94334,-9.60976E-05
-1.94322,9.33362E-05
-1.9431,0.00028277
-1.94298,0.000283878
-1.94285,0.000284985
-1.94273,7.33957E-05
-1.94261,-0.000138194
-1.94249,-0.000121024
-1.94237,-0.000103852
-1.94225,-8.66815E-05
-1.94212,-6.95107E-05
-1.942,0.000191376
-1.94188,0.000452263
-1.94176,0.000216856
-1.94164,-1.85519E-05
-1.94152,0.000133771
-1.94139,0.000286093
-1.94127,8.39196E-05
-1.94115,-0.000118254
-1.94103,-3.23993E-05
-1.94091,5.34551E-05
-1.94079,-7.33878E-05
-1.94066,-0.000200231
-1.94054,-0.000103299
-1.94042,-6.36606E-06
-1.9403,9.05665E-05
-1.94018,0.000187499
-1.94006,2.74219E-05
-1.93994,-0.000132655
-1.93981,-8.00346E-05
-1.93969,-2.74144E-05
-1.93957,-2.48849E-06
-1.93945,2.2437E-05
-1.93933,4.73624E-05
-1.93921,7.22879E-05
-1.93908,0.000141525
-1.93896,0.000210763
-1.93884,0.00028
-1.93872,0.000349238
-1.9386,7.6165E-05
-1.93848,-0.000196908
-1.93835,2.63141E-05
-1.93823,0.000249536
-1.93811,0.000193592
-1.93799,0.000137648
-1.93787,8.1704E-05
-1.93775,2.57604E-05
-1.93762,0.000107184
-1.9375,0.000188607
-1.93738,0.00027003
-1.93726,0.000351453
-1.93714,0.00022461
-1.93702,9.7767E-05
-1.93689,0.000183622
-1.93677,0.000269476
-1.93665,0.000220733
-1.93653,0.00017199
-1.93641,0.000123247
-1.93629,7.45035E-05
-1.93616,0.000234026
-1.93604,0.00039355
-1.93592,0.000340376
-1.9358,0.000287201
-1.93568,6.34254E-05
-1.93556,-0.00016035
-1.93543,-2.963E-05
-1.93531,0.00010109
-1.93519,-0.000122685
-1.93507,-0.00034646
-1.93495,-0.00021574
-1.93483,-8.502E-05
-1.9347,0.000180575
-1.93458,0.00044617
-1.93446,0.000215471
-1.93434,-1.52285E-05
-1.93422,-3.32301E-05
-1.9341,-5.12321E-05
-1.93397,-6.92336E-05
-1.93385,-8.72356E-05
-1.93373,-7.75424E-05
-1.93361,-6.78487E-05
-1.93349,-5.81555E-05
-1.93337,-4.84623E-05
-1.93324,-0.000145118
-1.93312,-0.000241774
-1.933,-0.000125731
-1.93288,-9.68948E-06
-1.93276,-0.000101637
-1.93264,-0.000193584
-1.93252,-7.28341E-05
-1.93239,4.79161E-05
-1.93227,0.000261722
-1.93215,0.000475527
-1.93203,5.12395E-05
-1.93191,-0.000373048
-1.93179,-0.000248974
-1.93166,-0.000124901
-1.93154,-8.27014E-07
-1.93142,0.000123247
-1.9313,-5.84326E-05
-1.93118,-0.000240112
-1.93106,-6.7295E-05
-1.93093,0.000105522
-1.93081,0.000254521
-1.93069,0.00040352
-1.93057,0.000339821
-1.93045,0.000276123
-1.93033,0.000145956
-1.9302,1.57901E-05
-1.93008,9.83211E-05
-1.92996,0.000180852
-1.92984,0.000161466
-1.92972,0.000142079
-1.9296,0.000122693
-1.92947,0.000103306
-1.92935,4.4039E-05
-1.92923,-1.52285E-05
-1.92911,-7.44956E-05
-1.92899,-0.000133763
-1.92887,-2.65832E-05
-1.92874,8.05962E-05
-1.92862,0.000187776
-1.9285,0.000294955
-1.92838,0.000158419
-1.92826,2.18828E-05
-1.92814,-0.000114653
-1.92801,-0.00025119
-1.92789,-2.43676E-05
-1.92777,0.000202454
-1.92765,0.000216579
-1.92753,0.000230703
-1.92741,0.000138479
-1.92728,4.62546E-05
-1.92716,-4.59701E-05
-1.92704,-0.000138194
-1.92692,0.000131555
-1.9268,0.000401305
-1.92668,0.000174759
-1.92655,-5.17857E-05
-1.92643,0.000138202
-1.92631,0.00032819
-1.92619,0.000518177
-1.92607,0.000708165
-1.92595,0.000407397
-1.92582,0.000106629
-1.9257,1.85594E-05
-1.92558,-6.95107E-05
-1.92546,1.94227E-06
-1.92534,7.33957E-05
-1.92522,-6.78487E-05
-1.9251,-0.000209094
-1.92497,-0.000191299
-1.92485,-0.000173505
-1.92473,-0.000421583
-1.92461,-0.000244266
-1.92449,0.000327428
-1.92437,0.000473727
-1.92424,0.000106006
-1.92412,-0.000261714
-1.924,0.000105037
-1.92388,0.000471788
-1.92376,0.000342245
-1.92364,0.000212702
-1.92351,0.000189507
-1.92339,0.000166312
-1.92327,0.000143118
-1.92315,0.000119923
-1.92303,0.000173721
-1.92291,0.000227518
-1.92278,0.000281316
-1.92266,0.000335113
-1.92254,0.000437654
-1.92242,0.000540195
-1.9223,0.000146441
-1.92218,-0.000247313
-1.92205,-0.000187976
-1.92193,-0.000128639
-1.92181,-6.9303E-05
-1.92169,-9.96655E-06
-1.92157,-3.48226E-05
-1.92145,-5.96787E-05
-1.92132,-8.45352E-05
-1.9212,-0.000109391
-1.92108,-5.73248E-05
-1.92096,-5.25825E-06
-1.92084,4.68083E-05
-1.92072,9.88748E-05
-1.92059,0.000150942
-1.92047,0.000203008
-1.92035,0.000255075
-1.92023,0.000307141
-1.92011,0.000175313
-1.91999,4.34848E-05
-1.91986,-8.83434E-05
-1.91974,-0.000220171
-1.91962,0.00012657
-1.9195,0.000473312
-1.91938,6.67488E-05
-1.91926,-0.000339814
-1.91913,-0.000363078
-1.91901,3.90536E-05
-1.91889,0.000414598
-1.91877,8.11503E-05
-1.91865,-0.000190261
-1.91853,-3.62764E-05
-1.9184,0.000427892
-1.91828,0.000466665
-1.91816,0.000160912
-1.91804,-0.000144841
-1.91792,1.91135E-05
-1.9178,0.000183068
-1.91767,-0.000162566
-1.91755,-0.000508199
-1.91743,-0.000339814
-1.91731,0.000253967
-1.91719,0.000336706
-1.91707,-5.95069E-06
-1.91695,-0.00032202
-1.91682,-0.000212694
-1.9167,-5.8813E-06
-1.91658,0.000200931
-1.91646,0.000221633
-1.91634,0.000242335
-1.91622,0.000177736
-1.91609,0.000113138
-1.91597,4.85391E-05
-1.91585,-1.60593E-05
-1.91573,0.000127608
-1.91561,0.000271277
-1.91549,6.0448E-05
-1.91536,-0.00015038
-1.91524,-0.000266491
-1.91512,-0.000382603
-1.915,-0.000144218
-1.91488,9.4167E-05
-1.91476,0.000106561
-1.91463,0.000118954
-1.91451,-8.13501E-05
-1.91439,-0.000281654
-1.91427,-0.000187283
-1.91415,-9.29129E-05
-1.91403,1.45799E-06
-1.9139,9.58284E-05
-1.91378,-0.00010226
-1.91366,-0.000300348
-1.91354,-2.87299E-05
-1.91342,0.000242889
-1.9133,0.000389672
-1.91317,0.000111061
-1.91305,-0.000167551
-1.91293,-2.07676E-05
-1.91281,-5.56633E-05
-1.91269,-9.0559E-05
-1.91257,-9.88673E-05
-1.91244,-0.000107176
-1.91232,-9.77595E-05
-1.9122,-8.83434E-05
-1.91208,-0.000318212
-1.91196,-0.000122685
-1.91184,0.000272246
-1.91171,0.000667176
-1.91159,0.000308803
-1.91147,-4.95701E-05
-1.91135,3.93307E-05
-1.91123,0.000128231
-1.91111,0.000217133
-1.91098,0.000306034
-1.91086,0.000257568
-1.91074,0.000209101
-1.91062,0.000160635
-1.9105,0.000112168
-1.91038,2.71448E-05
-1.91025,-5.78789E-05
-1.91013,-0.000142902
-1.91001,-0.000227926
-1.90989,8.58582E-05
-1.90977,0.000399643
-1.90965,0.000341206
-1.90953,-0.000142626
-1.9094,-0.000249459
-1.90928,6.91027E-05
-1.90916,0.000573775
-1.90904,0.000653052
-1.90892,0.000280346
-1.9088,-9.23588E-05
-1.90867,4.64264E-06
-1.90855,0.000101645
-1.90843,9.22973E-05
-1.90831,8.29506E-05
-1.90819,-0.000139094
-1.90807,-0.000361139
-1.90794,-0.000277431
-1.90782,-0.000193723
-1.9077,-0.000110014
-1.90758,-2.63066E-05
-1.90746,-0.000294602
-1.90734,-0.000562897
-1.90721,-0.000361485
-1.90709,-0.000160073
-1.90697,9.45129E-05
-1.90685,-7.62958E-05
-1.90673,-0.000247105
-1.90661,7.48131E-06
-1.90648,0.000239912
-1.90636,0.000472342
-1.90624,0.000376863
-1.90612,0.000281385
-1.906,0.000261237
-1.90588,0.000241089
-1.90575,8.24314E-06
-1.90563,-0.000224602
-1.90551,-8.39122E-05
-1.90539,5.67785E-05
-1.90527,-1.52285E-05
-1.90515,-8.72356E-05
-1.90502,-6.1756E-05
-1.9049,-3.62764E-05
-1.90478,0.0002019
-1.90466,0.000440077
-1.90454,0.000177529
-1.90442,-8.502E-05
-1.90429,-0.000232357
-1.90417,4.57005E-05
-1.90405,0.000128786
-1.90393,0.000211871
-1.90381,0.000108845
-1.90369,5.81983E-06
-1.90356,-8.05887E-05
-1.90344,-0.000166997
-1.90332,-0.000182506
-1.9032,0.00022738
-1.90308,0.000522055
-1.90296,0.000107737
-1.90283,-0.00049269
-1.90271,-0.000384126
-1.90259,0.00019193
-1.90247,0.000767986
-1.90235,0.000351453
-1.90223,-6.50794E-05
-1.90211,-0.000260052
-1.90198,-2.963E-05
-1.90186,-3.8492E-05
-1.90174,-4.73545E-05
-1.90162,-9.41241E-06
-1.9015,2.85297E-05
-1.90138,6.64718E-05
-1.90125,0.000104414
-1.90113,0.000137925
-1.90101,0.000171436
-1.90089,-7.75093E-06
-1.90077,-0.000186937
-1.90065,-0.000104683
-1.90052,-2.2429E-05
-1.9004,5.98249E-05
-1.90028,0.000142079
-1.90016,3.82229E-05
-1.90004,-6.56331E-05
-1.89992,1.66208E-05
-1.89979,9.88748E-05
-1.89967,0.000258121
-1.89955,-8.02753E-06
-1.89943,-0.000300764
-1.89931,-0.000168105
-1.89919,0.000155096
-1.89906,5.29015E-05
-1.89894,-0.000519
-1.89882,-0.000665507
-1.8987,-0.000201616
-1.89858,0.000262275
-1.89846,-5.49946E-07
-1.89833,-0.000263376
-1.89821,-0.000264761
-1.89809,0.00015925
-1.89797,0.000370563
-1.89785,0.000156481
-1.89773,0.000159527
-1.8976,0.000162574
-1.89748,0.00016562
-1.89736,0.000168666
-1.89724,5.65015E-05
-1.89712,0.000369732
-1.897,0.000443678
-1.89687,0.000517623
-1.89675,0.000209932
-1.89663,-9.77595E-05
-1.89651,-0.000192754
-1.89639,-0.000287747
-1.89627,-0.000116869
-1.89614,5.40093E-05
-1.89602,1.21896E-05
-1.8959,-2.963E-05
-1.89578,-7.75093E-06
-1.89566,1.41282E-05
-1.89554,3.60073E-05
-1.89541,5.78864E-05
-1.89529,0.000106353
-1.89517,0.000154819
-1.89505,0.000203285
-1.89493,0.000251751
-1.89481,7.75498E-05
-1.89469,-9.66517E-05
-1.89456,-5.81555E-05
-1.89444,-1.96598E-05
-1.89432,-5.20628E-05
-1.8942,-8.44658E-05
-1.89408,-0.000116869
-1.89396,-0.000149272
-1.89383,-0.000254859
-1.89371,-0.000360447
-1.89359,-0.000111538
-1.89347,0.000137371
-1.89335,-3.46843E-05
-1.89323,-0.000206739
-1.8931,-0.000166097
-1.89298,-0.000125454
-1.89286,7.69268E-05
-1.89274,0.000279308
-1.89262,0.000268992
-1.8925,0.000258675
-1.89237,0.000102129
-1.89225,-5.44167E-05
