	1H_pinene_CDCl3	1H_benzyl_benzoate_CDCl3	1H_limonene_CDCl3_3	1H_pinene_benzylbenzoate_CDCl3	
0.457009	0.000495322	2.13534e-05	-0.00047806	-0.00022497	
0.457131	0.000392936	0.000160128	-0.000409574	-0.000157598	
0.457253	0.000358444	-5.27352e-05	-0.000398085	-0.00020285	
0.457374	0.000324026	-0.000265598	-0.000386596	-0.000488129	
0.457496	0.000303548	-0.000188448	-0.000569749	-0.000871025	
0.457618	0.00028307	-0.000111304	-0.000406871	-0.000853676	
0.457739	0.000402013	4.19766e-05	-6.37677e-05	-0.000541277	
0.457861	0.000520956	0.00019525	0.000279335	-0.000468902	
0.457982	0.000765376	-5.74887e-05	0.000355706	-0.00047664	
0.458104	0.000786725	-0.000310227	0.000432076	-0.000484299	
0.458226	0.000624431	-0.000297427	0.000266945	-0.000290699	
0.458347	0.00046221	-0.000284627	0.000101814	-9.70252e-05	
0.458469	0.00029999	-0.000271827	-6.33174e-05	-0.000143528	
0.458591	0.000137769	-0.000259027	-0.000228448	-0.000189956	
0.458712	0.00012891	-0.000369482	-0.000299862	-1.13621e-05	
0.458834	0.000343123	-0.000479929	-0.000371276	0.000167307	
0.458956	0.000431858	-0.000416376	-0.000154331	-5.42738e-05	
0.459077	0.000520593	-0.000352822	6.26147e-05	-0.000275772	
0.459199	0.000666257	-0.000425443	-2.59206e-05	-0.000196911	
0.459321	0.000811923	-0.000498056	-0.000114456	-0.000117972	
0.459442	0.000957586	-0.00057067	-0.000202992	-3.91081e-05	
0.459564	0.00110325	-0.000643291	-0.000291527	3.98308e-05	
0.459685	0.00089572	-0.000574522	-0.000163793	0.000153705	
0.459807	0.000688186	-0.00050576	-3.6058e-05	0.000267662	
0.459929	0.000578249	-0.000436999	-8.13399e-05	0.000381537	
0.46005	0.000691455	-0.00036823	-0.000126621	0.000495493	
0.460172	0.000795294	-0.000278622	-0.000173705	0.000594363	
0.460294	0.000899132	-0.000189014	-0.000220789	0.00069331	
