	1Pulse-H_(Benzyl_benzoate)	1Pulse-H_(Cis_Decahydronaftalene)	1Pulse-H_(EthylPhenylPropiolate)	1Pulse-H_(m-Anisaldehyde)	1Pulse-H_(Mieszanina_4)	
-3.84421	-1.21719e-05	-2.16268e-05	-6.42156e-05	-3.14458e-05	-8.8941e-05	
-3.84246	1.4689e-05	-4.94602e-05	-3.12174e-05	-6.15342e-05	-6.79343e-05	
-3.8407	5.41651e-05	-4.11154e-05	5.52647e-06	-2.20919e-05	-4.01604e-05	
-3.83895	5.22378e-05	7.03588e-06	6.31076e-06	5.72602e-05	-1.23864e-05	
-3.83719	3.90971e-05	2.78202e-05	-3.96569e-07	0.000101691	-5.37889e-05	
-3.83543	2.59564e-05	-1.77395e-05	-7.1039e-06	6.63023e-05	-9.51913e-05	
-3.83368	2.10101e-05	-5.83233e-05	-1.7557e-05	3.31999e-05	-0.000126318	
-3.83192	1.60638e-05	-3.25632e-05	-2.80101e-05	4.00075e-05	-0.000157444	
-3.83017	3.18192e-05	3.38326e-05	-5.6443e-05	3.93319e-05	-0.000143455	
-3.82841	4.75745e-05	6.04221e-05	-8.4876e-05	3.86564e-05	-8.13435e-05	
-3.82666	4.34369e-05	3.47138e-05	-8.66201e-05	6.03262e-05	-4.54864e-05	
-3.8249	3.92993e-05	9.00548e-06	-8.83642e-05	8.19961e-05	-9.62937e-06	
-3.82314	3.51616e-05	2.72501e-05	-6.0142e-05	9.36884e-05	-2.69078e-05	
-3.82139	3.1024e-05	4.54947e-05	-3.19198e-05	0.000105381	-4.41863e-05	
-3.81963	5.57824e-05	2.80794e-05	4.82542e-08	3.1641e-05	-6.57256e-05	
-3.81788	8.05409e-05	1.06641e-05	3.20163e-05	-4.20989e-05	-8.72649e-05	
-3.81612	4.31943e-05	1.3152e-05	3.4018e-05	-5.2648e-05	-9.67735e-05	
-3.81436	5.84769e-06	1.56399e-05	3.60196e-05	1.66228e-05	-0.000106282	
-3.81261	-9.50339e-06	4.876e-05	3.95196e-05	8.42306e-05	-5.76424e-05	
-3.81085	-2.48545e-05	8.18802e-05	4.30196e-05	7.20186e-05	-9.00276e-06	
-3.8091	-1.95038e-05	4.2022e-05	4.56662e-06	2.32225e-05	1.05628e-05	
-3.80734	-1.41532e-05	2.16375e-06	-3.38863e-05	-2.55737e-05	-1.79944e-05	
-3.80559	-2.64852e-05	-3.69319e-06	-1.50286e-05	1.41804e-05	-6.48483e-05	
-3.80383	-3.88173e-05	-9.55013e-06	3.82919e-06	5.39344e-05	-0.000111702	
-3.80207	-5.11494e-05	1.77649e-05	2.26869e-05	4.71269e-05	-0.000105421	
-3.80032	-6.34814e-05	4.508e-05	4.15447e-05	4.03193e-05	-9.91389e-05	
-3.79856	-3.0724e-05	4.63499e-05	8.78872e-05	4.34113e-05	-9.78387e-05	
-3.79681	2.03351e-06	4.76197e-05	0.00013423	4.65032e-05	-9.65385e-05	
-3.79505	2.88157e-07	3.14743e-05	0.000145362	4.95952e-05	-9.52383e-05	
-3.79329	-1.4572e-06	1.53289e-05	8.45745e-05	5.26872e-05	-9.39381e-05	
-3.79154	-5.359e-06	5.40318e-06	8.42946e-06	4.45545e-05	-6.70727e-05	
-3.78978	-9.26078e-06	3.52839e-05	-3.17559e-05	3.64219e-05	-4.02073e-05	
-3.78803	7.53914e-06	8.75557e-05	-1.8751e-05	6.15474e-05	-3.74033e-05	
-3.78627	2.4339e-05	6.02147e-05	-5.74603e-06	8.6673e-05	-3.45993e-05	
-3.78452	2.03294e-05	8.15027e-06	9.22545e-06	7.16808e-05	-5.8363e-05	
-3.78276	1.63198e-05	-4.39142e-05	2.41969e-05	5.66886e-05	-8.21268e-05	
-3.781	-8.39148e-06	-1.47073e-05	2.11886e-05	7.49547e-05	-6.57882e-05	
-3.77925	-3.31028e-05	1.44996e-05	1.81802e-05	9.32207e-05	-4.94497e-05	
-3.77749	-1.3157e-06	1.50956e-05	-1.02995e-05	9.48577e-05	-4.61444e-05	
-3.77574	3.04714e-05	1.56917e-05	-3.87793e-05	9.64946e-05	-4.28391e-05	
-3.77398	2.74109e-06	-3.61545e-06	-1.33301e-06	6.48733e-05	-6.35951e-05	
-3.77222	-2.49892e-05	-2.29226e-05	3.61133e-05	3.32519e-05	-8.43512e-05	
-3.77047	-3.26108e-05	-4.15041e-05	4.79944e-05	1.24915e-05	-0.000103368	
-3.76871	1.17093e-06	-6.00856e-05	5.98757e-05	-8.26897e-06	-0.000122386	
-3.76696	3.49527e-05	-1.89575e-05	1.78174e-05	1.75322e-05	-8.52598e-05	
-3.7652	2.73311e-05	2.21706e-05	-2.42409e-05	4.33333e-05	-4.81338e-05	
-3.76345	6.33963e-06	7.32095e-06	-4.30752e-05	6.24828e-05	-5.01076e-05	
-3.76169	-1.46519e-05	-7.5287e-06	-6.19096e-05	8.16323e-05	-5.20814e-05	
-3.75993	-1.75293e-05	1.07937e-05	-3.8791e-05	8.08269e-05	-3.30015e-05	
-3.75818	-2.04068e-05	2.9116e-05	-1.56724e-05	8.00214e-05	-1.39216e-05	
-3.75642	-1.33647e-05	3.17335e-05	2.72053e-05	6.81991e-05	-1.11332e-05	
-3.75467	-6.32266e-06	3.4351e-05	7.0083e-05	5.63768e-05	-5.64676e-05	
-3.75291	-1.73945e-05	3.69684e-05	4.70346e-05	2.45996e-05	-7.77406e-05	
-3.75115	-2.84665e-05	3.95859e-05	2.39862e-05	-7.17767e-06	-5.08908e-05	
-3.7494	-3.22065e-05	2.76906e-05	1.0677e-05	-2.8146e-05	-1.70232e-05	
-3.74764	5.45682e-06	1.57954e-05	-2.63233e-06	-4.91143e-05	1.68444e-05	
-3.74589	4.31202e-05	2.38033e-05	2.60113e-05	-2.3521e-05	2.96583e-05	
-3.74413	3.93801e-05	3.18112e-05	5.4655e-05	2.07228e-06	4.24723e-05	
-3.74238	-1.10668e-05	-8.18956e-06	5.97e-05	4.56057e-08	1.31318e-05	
-3.74062	-6.15137e-05	-4.81903e-05	6.47452e-05	-1.98107e-06	-1.62086e-05	
-3.73886	-3.86421e-05	-1.6042e-05	3.98239e-05	2.92505e-05	-2.14877e-05	
-3.73711	-1.57705e-05	5.59127e-05	1.49027e-05	6.04821e-05	-2.67668e-05	
-3.73535	-1.18754e-05	6.23528e-05	2.66902e-05	6.42756e-05	-3.30485e-05	
-3.7336	-7.98042e-06	-1.082e-05	3.84778e-05	6.80692e-05	-3.93301e-05	
-3.73184	-4.08536e-06	-8.15048e-05	8.3124e-06	5.19077e-05	-4.56118e-05	
-3.73008	-1.9031e-07	-7.25769e-05	-2.1853e-05	3.57463e-05	-5.18934e-05	
-3.72833	1.06053e-05	-3.8148e-05	-3.1791e-05	8.40227e-05	-4.82748e-05	
-3.72657	2.14009e-05	-3.71909e-06	-4.17291e-05	0.000132299	-4.46562e-05	
-3.72482	-2.3063e-06	3.07098e-05	-3.36873e-05	0.000107407	-7.11143e-05	
-3.72306	-2.60135e-05	6.51387e-05	-2.56456e-05	8.25157e-05	-4.94497e-05	
-3.72131	-1.60805e-05	6.55663e-05	1.23626e-05	4.09949e-05	-2.32735e-05	
-3.71955	-6.14743e-06	-1.36189e-05	5.03707e-05	-5.26023e-07	-4.52201e-05	
-3.71779	3.78559e-06	-5.13391e-05	4.64259e-05	-2.20919e-05	-6.71667e-05	
-3.71604	1.37186e-05	-9.44646e-06	4.24811e-05	-4.36579e-05	-4.09906e-05	
-3.71428	-6.26873e-06	5.04834e-05	1.08174e-05	-1.38813e-05	1.42754e-05	
-3.71253	-2.62561e-05	3.08005e-05	-2.08463e-05	1.58952e-05	2.14186e-05	
-3.71077	-1.17407e-05	-7.95632e-06	-1.0557e-05	-1.41931e-05	-1.35456e-05	
-3.70901	2.77479e-06	-6.90672e-06	-2.67813e-07	-4.42814e-05	-4.85098e-05	
-3.70726	3.92858e-05	9.07027e-06	2.50046e-05	-2.78082e-05	-3.68551e-05	
-3.7055	7.57968e-05	2.50473e-05	5.0277e-05	-1.1335e-05	-2.52003e-05	
-3.70375	6.40038e-05	-2.92869e-06	2.161e-05	2.50932e-05	-3.7607e-05	
-3.70199	5.22109e-05	-3.09046e-05	-7.05704e-06	6.15215e-05	-5.00136e-05	
-3.70024	5.40034e-05	3.10966e-06	2.98274e-05	4.39049e-05	-1.10392e-05	
-3.69848	5.57959e-05	3.71239e-05	6.67117e-05	2.62885e-05	2.79352e-05	
-3.69672	3.94745e-05	5.1235e-05	6.16432e-05	2.86269e-05	-5.2745e-06	
-3.69497	2.3153e-05	6.5346e-05	5.65746e-05	3.09654e-05	-3.84842e-05	
-3.69321	3.38128e-06	4.83583e-05	5.41282e-05	1.04388e-05	-9.53538e-06	
-3.69146	2.50129e-05	3.13706e-05	5.16817e-05	-1.00878e-05	1.94135e-05	
-3.6897	8.28726e-05	1.4383e-05	4.92352e-05	-3.06144e-05	-4.77322e-06	
-3.68794	7.17265e-05	-2.60473e-06	4.67888e-05	-5.1141e-05	-2.89599e-05	
-3.68619	-3.0104e-05	9.5868e-07	1.06009e-05	-2.73145e-05	-3.38474e-05	
-3.68443	-0.000131935	4.52207e-06	-2.5587e-05	-3.48809e-06	9.38789e-06	
-3.68268	-0.000163897	-1.18177e-05	-3.18086e-05	3.83385e-07	1.55286e-05	
-3.68092	-9.92512e-05	-2.81575e-05	-3.80301e-05	4.25485e-06	-2.64535e-05	
-3.67917	-8.72841e-06	-9.59088e-07	-1.01649e-05	2.68341e-05	-6.44254e-05	
-3.67741	4.0391e-05	2.62394e-05	1.77003e-05	4.94134e-05	-5.42745e-05	
-3.67565	2.91304e-05	2.02658e-05	3.80739e-05	2.79254e-05	-3.4098e-05	
-3.6739	1.78698e-05	1.42923e-05	2.24879e-05	6.43743e-06	-1.39216e-05	
-3.67214	2.66639e-05	2.36607e-05	1.7671e-05	3.73313e-05	-5.02643e-05	
-3.67039	3.54581e-05	3.30292e-05	4.88139e-05	0.000108135	-8.66069e-05	
-3.66863	9.74946e-06	2.24946e-05	6.42243e-05	0.00013404	-8.08422e-05	
-3.66687	-1.59592e-05	1.19598e-05	4.36751e-05	9.34286e-05	-2.69548e-05	
-3.66512	-3.21796e-05	4.32771e-06	6.26978e-06	5.86373e-05	3.79608e-05	
-3.66336	-4.83999e-05	-3.30445e-06	4.07838e-05	2.38461e-05	5.47536e-05	
-3.66161	-3.01175e-05	-1.09366e-05	7.75453e-05	4.85247e-06	3.64875e-07	
-3.65985	-1.1835e-05	-1.85688e-05	4.23875e-05	-1.41411e-05	-5.40238e-05	
-3.6581	1.70409e-05	-7.85265e-06	-2.873e-05	-1.4323e-05	-8.72962e-05	
-3.65634	4.59168e-05	2.86347e-06	-2.79282e-05	-1.45049e-05	-7.24458e-05	
-3.65458	1.26876e-05	-6.32362e-06	2.6064e-05	-4.37878e-05	-1.54881e-05	
-3.65283	-2.05416e-05	-1.55107e-05	4.40965e-05	-7.30707e-05	4.14697e-05	
-3.65107	-1.0211e-05	-1.10143e-05	-7.54284e-06	-7.44997e-05	5.58188e-05	
-3.64932	1.19675e-07	-6.51798e-06	-5.91821e-05	-9.41222e-06	2.20452e-05	
-3.64756	-7.66368e-06	1.78816e-05	-2.31698e-05	5.56753e-05	1.23329e-05	
-3.6458	-1.5447e-05	4.22811e-05	1.28425e-05	5.42462e-05	2.62064e-06	
-3.64405	-2.56025e-05	5.78694e-05	1.56416e-06	1.39465e-05	2.44889e-05	
-3.64229	5.64553e-06	7.34576e-05	-9.71422e-06	-2.63532e-05	-1.76555e-06	
-3.64054	3.68935e-05	6.91427e-05	-2.09926e-05	2.35809e-06	-5.70942e-05	
-3.63878	2.67381e-05	6.48277e-05	-3.22709e-05	3.10693e-05	-0.000112423	
-3.63703	1.50731e-05	6.30007e-05	-2.34554e-06	4.6893e-05	-9.90762e-05	
-3.63527	3.40823e-06	6.11736e-05	2.75798e-05	6.27167e-05	-8.57297e-05	
-3.63351	-4.93572e-07	2.61746e-05	5.75053e-05	4.52821e-05	-4.83218e-05	
-3.63176	-4.39535e-06	-8.82449e-06	8.74306e-05	2.78474e-05	-1.09139e-05	
-3.63	5.30857e-06	-2.51513e-05	8.9725e-05	1.08492e-06	2.44889e-05	
-3.62825	1.50125e-05	-4.14782e-05	9.20193e-05	-2.56776e-05	5.98917e-05	
-3.62649	6.60244e-06	-1.38521e-05	6.43472e-05	-3.24852e-05	2.31104e-05	
-3.62474	-1.80764e-06	1.37739e-05	3.66751e-05	-3.92927e-05	-1.36709e-05	
-3.62298	-2.38032e-05	3.26924e-05	4.68356e-05	-3.69595e-06	-3.94241e-05	
